;campaign_id;impressions;cpm;clicks;installs;ret_2;ret_3;ret_7;ret_14;ltv_1;ltv_3;ltv_7;ltv_14;cost;revenue;roas;roas_segment
0;j657p37;314;0.4;43;1;0.5817118654493394;0.42371211356268085;0.2185000938372884;0.12710409718694476;0.61381379709194;1.22762759418388;1.8414413912758198;2.3981033513132557;0.12560000000000002;2.3981033513132557;18.093179548672417;4
1;bjrpd11;525;0.56;98;1;0.7664862330455204;0.6560602721473826;0.47398297586964205;0.36330142570202784;0.36162123831468485;0.7232424766293697;1.0848637149440543;1.4128146151439491;0.294;1.4128146151439491;3.805491888244725;2
2;bsm6lu6;114;0.45;22;1;0.7666638653663722;0.6563012681272624;0.47429141441447276;0.36362208908508364;0.21252939963270667;0.42505879926541335;0.63758819889812;0.8303291127153463;0.051300000000000005;0.8303291127153463;15.185752684509671;4
3;u6pc8bj;289;0.53;69;1;0.8648411959477296;0.794413304970547;0.6652088281127954;0.5752999984600576;0.3259402842210361;0.6518805684420722;0.9778208526631083;1.2734130311531338;0.15317000000000003;1.2734130311531338;7.3137235173541395;3
4;yrvnak2;724;0.68;17;1;0.8019313889125317;0.7047921805801778;0.5381199987780323;0.43153531802167727;0.3282464777752576;0.6564929555505152;0.9847394333257729;1.2824230770617746;0.49232000000000004;1.2824230770617746;1.6048567538628828;1
5;84mf7pk;820;0.49;159;1;0.8664630366710043;0.7967758245306422;0.6687168548325068;0.5794184367112569;0.3022314679899952;0.6044629359799903;0.9066944039699856;1.1807852799870693;0.4018;1.1807852799870693;1.9387388750300383;1
6;mn15b8b;111;0.58;40;1;0.9346564109508876;0.8984305340497273;0.8271984604603123;0.7731463441979354;0.23795027408573124;0.4759005481714625;0.7138508222571938;0.9296456880480128;0.06437999999999999;0.9296456880480128;13.439976515191255;4
7;ta6ca12;324;0.49;98;1;0.734877076818402;0.613698860956231;0.42113097043089315;0.3094794965079516;0.6681643869536931;1.3363287739073861;2.004493160861079;2.6104451597099145;0.15875999999999998;2.6104451597099145;15.44271327607656;4
8;2re3ckv;506;0.62;161;1;0.999698575785539;0.9995222960435656;0.9991540257271474;0.998852856509817;0.8664919019211678;1.7329838038423355;2.599475705763503;3.3852890627867493;0.31371999999999994;3.3852890627867493;9.79079772659298;3
9;6k1lrb7;477;0.46;191;1;0.5849682397053031;0.4274776442909528;0.221951293332833;0.1298344573612227;0.3518658562967979;0.7037317125935958;1.0555975688903936;1.3747014048816981;0.21942;1.3747014048816981;5.26515998943441;2
10;sjl4fy2;134;0.56;45;1;0.606370792097702;0.45253097492826977;0.24551002117340448;0.14887010600684084;0.22786867867509233;0.45573735735018467;0.683606036025277;0.8902579977494577;0.07504000000000001;0.8902579977494577;10.863779287705992;3
11;1nfalyb;303;0.6;54;1;0.31065978671828876;0.15678006022710567;0.037554666301470564;0.011666724623491354;0.32401040471489145;0.6480208094297829;0.9720312141446742;1.2658732030599193;0.1818;1.2658732030599193;5.962998916721229;3
12;sr4t53f;125;0.41;52;1;0.7450810250615544;0.6272596409752556;0.4377537510745958;0.32616201357520036;0.21644797426493015;0.4328959485298603;0.6493439227947904;0.8456385550941702;0.05125;0.8456385550941702;15.500264489642346;4
13;6zba876;700;0.61;74;1;0.5699214623190793;0.41018138857259584;0.20629375086714288;0.11757123616148989;0.23644690129337334;0.4728938025867467;0.70934070388012;0.923772175023856;0.427;0.923772175023856;1.1634008782760095;1
14;605t3jr;115;0.49;28;1;0.30626826855544637;0.15328192506498378;0.036083273452174325;0.011051161684010134;0.30492620940836335;0.6098524188167267;0.9147786282250899;1.1913133398920885;0.056350000000000004;1.1913133398920885;20.141319252743365;4
15;151sfz6;105;0.5;18;1;0.6752392085731943;0.5366569695678681;0.3320680565414401;0.22422537169148068;0.4858596415173088;0.9717192830346176;1.4575789245519264;1.8982004642297;0.0525;1.8982004642297;35.15619931866095;4
16;nyvkm49;638;0.37;282;2;0.8318856102895318;0.7469711399243623;0.5964721735278433;0.49619661809593346;0.19180782412730146;0.3836156482546029;0.5754234723819043;0.7493721842470867;0.23606;1.4987443684941735;5.348997578980656;2
17;1ba6c66;122;0.57;54;1;0.5038139162499693;0.3373722574901049;0.1459374207272554;0.07352530346401799;0.5626282054728509;1.1252564109457017;1.6878846164185526;2.1981268447859783;0.06953999999999999;2.1981268447859783;30.609531849093738;4
18;usnjz8b;570;0.49;260;1;0.706953291640185;0.5771516484520383;0.37773419264455427;0.2670404308551155;0.4268969464910079;0.8537938929820158;1.2806908394730236;1.6678396655397116;0.2793;1.6678396655397116;4.971498981524209;2
19;nep7nyu;457;0.45;106;1;0.6409869393752543;0.4941550000981997;0.2869175384264529;0.18391039480905394;0.17342173287889123;0.34684346575778247;0.5202651986366736;0.6775397372586728;0.20565;0.6775397372586728;2.294625515481025;2
20;7p5jz8a;286;0.44;59;1;0.6250406252152757;0.474812586378708;0.26732649795930596;0.16708992142109472;0.2226364741458331;0.4452729482916662;0.6679094224374993;0.8698163470797945;0.12584;0.8698163470797945;5.912081588364545;3
21;szk29ld;565;0.52;157;1;0.7345015391911686;0.613201870389835;0.4205270875955528;0.30887779311051294;0.2043248107327787;0.4086496214655574;0.612974432198336;0.7982746815013836;0.2938;0.7982746815013836;1.717068350923702;1
22;nl35bzr;149;0.48;40;1;0.8414932547831819;0.7606906419074121;0.6160139439006963;0.5183715786448214;0.32179236884839496;0.6435847376967899;0.9653771065451848;1.2572075795923818;0.07152;1.2572075795923818;16.57840575492704;4
23;c0ey90p;131;0.6;35;1;0.49937319028002386;0.33267126295187216;0.1423549472732465;0.0710882441719857;0.30058301267684057;0.6011660253536811;0.9017490380305216;1.1743449454268244;0.07859999999999999;1.1743449454268244;13.940775387109728;4
24;b5v1snk;344;0.51;86;1;0.6942054787528106;0.5607438027077817;0.35892248014613987;0.24916595216499718;0.43249957735170497;0.8649991547034099;1.2974987320551148;1.6897285313600352;0.17543999999999998;1.6897285313600352;8.63137557774758;3
25;v314ym7;781;0.39;187;1;0.7695202201843401;0.6601810038447457;0.4792689106961677;0.3688071176864238;0.2322428182501496;0.4644856365002992;0.6967284547504489;0.907347282519128;0.30459;0.907347282519128;1.978913564198194;2
26;mcf69b7;988;0.53;168;1;0.8615129341212977;0.7895731725526821;0.65804698134675;0.5669159856897014;0.3817979520530821;0.7635959041061642;1.1453938561592463;1.4916428282987786;0.52364;1.4916428282987786;1.8486036748506198;1
