roas_segment;Number of campaigns;impressions;clicks;installs;revenue;cost;ret_2;ret_3;ret_7;ret_14;ltv_1;ltv_3;ltv_7;ltv_14;roas; cpm ; ctr ; cr ;ltv_koef;ltv_180;revenue_180;roas_180; CPA ;;;;;;;;
1;432; 2 724 800 ;450124;1075; 496,97 ; 369,37 ; 0,50 ; 0,38 ; 0,24 ; 0,18 ; 0,12 ; 0,24 ; 0,35 ; 0,46 ; 0,35 ; 0,14 ; 0,17 ; 0,00 ; 0,30 ; 0,51 ; 546,95 ; 0,48 ; 0,34 ;;;;;;;;
2;431; 1 046 183 ;248111;967; 600,48 ; 137,98 ; 0,57 ; 0,45 ; 0,30 ; 0,24 ; 0,16 ; 0,32 ; 0,48 ; 0,62 ; 3,35 ; 0,13 ; 0,24 ; 0,00 ; 0,30 ; 0,68 ; 660,88 ; 3,79 ; 0,14 ;;;;;;;;
3;431; 516 900 ;137281;745; 648,37 ; 70,59 ; 0,55 ; 0,42 ; 0,28 ; 0,22 ; 0,22 ; 0,45 ; 0,67 ; 0,87 ; 8,19 ; 0,14 ; 0,27 ; 0,01 ; 0,30 ; 0,96 ; 713,58 ; 9,11 ; 0,09 ;;;;;;;;
4;432; 616 647 ;171880;899; 1 572,55 ; 42,22 ; 0,44 ; 0,32 ; 0,19 ; 0,14 ; 0,45 ; 0,90 ; 1,34 ; 1,75 ; 36,24 ; 0,07 ; 0,28 ; 0,01 ; 0,30 ; 1,93 ; 1 730,71 ; 39,99 ; 0,05 ;;;;;;;;
Total;1726;;;3686;;620,16552;;;;0,193179521;;;;;;;;;; 0,99 ;3652,116999; 4,89 ; 0,17 ;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;Сегмент;Число кампаний;Установки;Стоимость;LTV ;Доход ;ROAS; CPA 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;180 дней*;180 дней*;180 дней*;
;;;;;;;;;;;;;;;;;;;;;;;;1;432;1075;369;0,51;547;0,48;0,34
;;;;;;;;;;;;;;;;;;;;;;;;2;431;967;138;0,68;661;3,79;0,14
;;;;;;;;;;;;;;;;;;;;;;;;3;431;745;71;0,96;714;9,11;0,09
;;;;;;;;;;;;;;;;;;;;;;;;4;432;899;42;1,93;1 731;39,99;0,05
